FrontFrameIndex,FrontTimeStamp,MediaFrameIndex,MediaTimeStamp,WallclockTimeStamp,GazeFrameIndex,GazeTimeStamp,HidEventData,Confidence,Gaze2dX,Gaze2dY,GazeClass,VergenceAngle,Blink,GazeRightConfidence,PupilDiaRight,EyeballCenterRightX,EyeballCenterRightY,EyeballCenterRightZ,PupilCenterRightX,PupilCenterRightY,PupilCenterRightZ,GazeRightX,GazeRightY,GazeRightZ,GazeRightReciprocalDistance,GazeRightAngularSpeed,EyeClosedRight,Pupil2dRightConfidence,Pupil2dRightX,Pupil2dRightY,Pupil2dRightA,Pupil2dRightB,Pupil2dRightO,GazeLeftConfidence,PupilDiaLeft,EyeballCenterLeftX,EyeballCenterLeftY,EyeballCenterLeftZ,PupilCenterLeftX,PupilCenterLeftY,PupilCenterLeftZ,GazeLeftX,GazeLeftY,GazeLeftZ,GazeLeftReciprocalDistance,GazeLeftAngularSpeed,EyeClosedLeft,Pupil2dLeftConfidence,Pupil2dLeftX,Pupil2dLeftY,Pupil2dLeftA,Pupil2dLeftB,Pupil2dLeftO,FrontIlluminanceTimeStamp,FrontIlluminance,OrientationTimeStamp,OrientationW,OrientationX,OrientationY,OrientationZ
6894,232.645192400,448,15.000221944,2024-10-15T16:28:39.782208+02:00,13873,232.615441840,NA,0.471,709.0585,477.8433,F,0.0818,0,0.517,2.8914,-31.1465,-9.6802,-32.5048,-30.0976,-8.5725,-22.9255,0.2424,0.1110,0.9638,0.0013,0.0924,0,0.798,-0.8059,2.7769,1.8622,1.3985,1.0894,0.425,3.0361,32.6557,-9.6287,-31.0540,34.9303,-8.7881,-21.6620,0.1622,0.0885,0.9828,0.0013,0.0428,0,0.475,5.9871,1.2722,1.8145,0.8406,1.7924,232.614024760,73,232.616457880,-0.60406,0.19179,0.77300,-0.02825
6894,232.645192400,448,15.000221944,2024-10-15T16:28:39.782208+02:00,13874,232.632008000,NA,0.465,711.2475,481.8879,F,0.0839,0,0.518,2.8918,-31.1468,-9.6808,-32.5032,-30.1025,-8.5762,-22.9231,0.2420,0.1107,0.9640,0.0013,0.0358,0,0.797,-0.8127,2.7701,1.8611,1.3985,1.0759,0.413,3.0916,32.6557,-9.6308,-31.0549,34.9062,-8.8332,-21.6533,0.1597,0.0841,0.9836,0.0013,0.3123,0,0.586,5.9901,1.2301,1.9544,0.8631,1.7885,232.624029600,73,232.626462720,-0.60426,0.19191,0.77281,-0.02823
6894,232.645192400,448,15.000221944,2024-10-15T16:28:39.782208+02:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232.634034440,73,232.635214200,-0.60438,0.19198,0.77270,-0.02828
6895,232.678518320,449,15.033546917,2024-10-15T16:28:39.815535+02:00,13875,232.648574160,NA,0.462,714.5887,478.8602,F,0.0863,0,0.512,2.8844,-31.1472,-9.6861,-32.5007,-30.1153,-8.5730,-22.9202,0.2407,0.1116,0.9642,0.0013,0.0937,0,0.900,-0.8339,2.7717,1.8753,1.3893,1.0390,0.411,3.0067,32.6586,-9.6364,-31.0550,34.8743,-8.8045,-21.6482,0.1560,0.0876,0.9839,0.0014,0.3057,0,0.475,5.9625,1.2727,1.8235,0.8434,1.8207,232.645805480,73,232.646985240,-0.60448,0.19204,0.77260,-0.02834
6895,232.678518320,449,15.033546917,2024-10-15T16:28:39.815535+02:00,13876,232.665140320,NA,0.464,710.1484,480.3612,F,0.0811,0,0.517,2.9160,-31.1477,-9.6892,-32.4975,-30.1071,-8.5792,-22.9175,0.2416,0.1112,0.9640,0.0013,0.0580,0,0.884,-0.8216,2.7653,1.8759,1.4097,1.0525,0.411,3.0525,32.6574,-9.6361,-31.0559,34.9307,-8.8300,-21.6606,0.1620,0.0850,0.9831,0.0013,0.3991,0,0.645,6.0035,1.2273,1.9420,0.8478,1.7713,232.655810520,73,232.658117920,-0.60454,0.19211,0.77254,-0.02839
6895,232.678518320,449,15.033546917,2024-10-15T16:28:39.815535+02:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232.665811720,73,232.668119160,-0.60454,0.19211,0.77254,-0.02839
6895,232.678518320,449,15.033546917,2024-10-15T16:28:39.815535+02:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232.675819000,73,232.678376880,-0.60449,0.19219,0.77256,-0.02844
6896,232.711844120,450,15.066874041,2024-10-15T16:28:39.848863+02:00,13877,232.681706480,NA,0.471,713.2895,480.6957,F,0.0883,0,0.518,2.9234,-31.1482,-9.6913,-32.4945,-30.1009,-8.5834,-22.9151,0.2423,0.1110,0.9638,0.0014,0.0434,0,0.851,-0.8161,2.7629,1.8772,1.4152,1.0601,0.425,3.1224,32.6577,-9.6374,-31.0562,34.8695,-8.8196,-21.6472,0.1556,0.0861,0.9841,0.0014,0.3985,0,0.611,5.9607,1.2580,1.9203,0.8775,1.7883,232.685814960,74,232.688122360,-0.60449,0.19219,0.77256,-0.02844
6896,232.711844120,450,15.066874041,2024-10-15T16:28:39.848863+02:00,13878,232.698272640,NA,0.459,708.8008,479.4556,F,0.0772,0,0.516,2.9121,-31.1482,-9.6912,-32.4945,-30.1137,-8.5992,-22.9119,0.2410,0.1095,0.9643,0.0012,0.1290,0,0.884,-0.8340,2.7426,1.8859,1.4066,1.0880,0.403,3.2369,32.6612,-9.6438,-31.0558,34.9659,-8.8161,-21.6700,0.1653,0.0872,0.9824,0.0012,0.5991,0,0.698,6.0002,1.2254,1.9205,0.8917,1.8228,232.695815080,74,232.698122480,-0.60449,0.19219,0.77256,-0.02844
6896,232.711844120,450,15.066874041,2024-10-15T16:28:39.848863+02:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232.705816280,74,232.707998480,-0.60449,0.19219,0.77256,-0.02850
